,months_as_customer,age,policy_number,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,month_sin,month_cos
0,328.0,48.0,521585.0,OH,250/500,1000.0,1406.91,0.0,466132,MALE,MD,craft-repair,sleeping,husband,53300.0,0.0,2015-01-25,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,9935 4th Drive,5.0,1.0,1,1.0,2.0,1,71610.0,6510.0,13020.0,52080.0,Saab,92x,2004.0,1,-0.8660254037844386,0.5000000000000001
1,228.0,42.0,342868.0,IN,250/500,2000.0,1197.22,5000000.0,468176,MALE,MD,machine-op-inspct,reading,other-relative,0.0,0.0,2015-01-21,Vehicle Theft,Rear Collision,Minor Damage,Police,VA,Riverwood,6608 MLK Hwy,8.0,1.0,0,0.0,0.0,0,5070.0,780.0,780.0,3510.0,Mercedes,E400,2007.0,1,1.2246467991473532e-16,-1.0
2,134.0,29.0,687698.0,OH,100/300,2000.0,1413.14,5000000.0,430632,FEMALE,PhD,sales,board-games,own-child,35100.0,0.0,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,7121 Francis Lane,7.0,3.0,0,2.0,3.0,0,34650.0,7700.0,3850.0,23100.0,Dodge,RAM,2007.0,0,-1.0,-1.8369701987210297e-16
3,256.0,41.0,227811.0,IL,250/500,2000.0,1415.74,6000000.0,608117,FEMALE,PhD,armed-forces,board-games,unmarried,48900.0,-62400.0,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,Arlington,6956 Maple Drive,5.0,1.0,0,1.0,2.0,0,63400.0,6340.0,6340.0,50720.0,Chevrolet,Tahoe,2014.0,1,0.49999999999999994,-0.8660254037844387
4,228.0,44.0,367455.0,IL,500/1000,1000.0,1583.91,6000000.0,610706,MALE,Associate,sales,board-games,unmarried,66000.0,-46000.0,2015-02-17,Vehicle Theft,Rear Collision,Minor Damage,Police,NY,Arlington,3041 3rd Ave,20.0,1.0,0,0.0,1.0,0,6500.0,1300.0,650.0,4550.0,Accura,RSX,2009.0,0,1.2246467991473532e-16,-1.0
5,256.0,39.0,104594.0,OH,250/500,1000.0,1351.1,0.0,478456,FEMALE,PhD,tech-support,bungie-jumping,unmarried,0.0,0.0,2015-01-02,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Arlington,8973 Washington St,19.0,3.0,0,0.0,2.0,0,64100.0,6410.0,6410.0,51280.0,Saab,95,2003.0,1,-0.8660254037844386,0.5000000000000001
6,137.0,34.0,413978.0,IN,250/500,1000.0,1333.35,0.0,441716,MALE,PhD,prof-specialty,board-games,husband,0.0,-77000.0,2015-01-13,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,5846 Weaver Drive,0.0,3.0,0,0.0,0.0,0,78650.0,21450.0,7150.0,50050.0,Nissan,Pathfinder,2012.0,0,1.2246467991473532e-16,-1.0
7,165.0,37.0,429027.0,IL,100/300,1000.0,1137.03,0.0,603195,MALE,Associate,tech-support,base-jumping,unmarried,0.0,0.0,2015-02-27,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,3525 3rd Hwy,23.0,3.0,0,2.0,2.0,1,51590.0,9380.0,9380.0,32830.0,Audi,A5,2015.0,0,0.8660254037844386,0.5000000000000001
8,27.0,33.0,485665.0,IL,100/300,500.0,1442.99,0.0,601734,FEMALE,PhD,other-service,golf,own-child,0.0,0.0,2015-01-30,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,4872 Rock Ridge,21.0,1.0,0,1.0,1.0,1,27700.0,2770.0,2770.0,22160.0,Toyota,Camry,2012.0,0,0.8660254037844386,0.5000000000000001
9,212.0,42.0,636550.0,IL,100/300,500.0,1315.68,0.0,600983,MALE,PhD,priv-house-serv,camping,wife,0.0,-39300.0,2015-01-05,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Hillsdale,3066 Francis Ave,14.0,1.0,0,2.0,1.0,0,42300.0,4700.0,4700.0,32900.0,Saab,92x,1996.0,0,-0.4999999999999997,-0.8660254037844388
10,235.0,42.0,543610.0,OH,100/300,500.0,1253.12,4000000.0,462283,FEMALE,Masters,exec-managerial,dancing,other-relative,38400.0,0.0,2015-01-06,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,1558 1st Ridge,22.0,1.0,1,2.0,2.0,0,87010.0,7910.0,15820.0,63280.0,Ford,F150,2002.0,0,0.49999999999999994,-0.8660254037844387
11,447.0,61.0,214618.0,OH,100/300,2000.0,1137.16,0.0,615561,FEMALE,High School,exec-managerial,skydiving,other-relative,0.0,-51000.0,2015-02-15,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,5971 5th Hwy,21.0,3.0,1,1.0,2.0,1,114920.0,17680.0,17680.0,79560.0,Audi,A3,2006.0,0,0.49999999999999994,-0.8660254037844387
12,60.0,23.0,842643.0,OH,500/1000,500.0,1215.36,3000000.0,432220,MALE,MD,protective-serv,reading,wife,0.0,0.0,2015-01-22,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,6655 5th Drive,9.0,1.0,1,1.0,0.0,0,56520.0,4710.0,9420.0,42390.0,Saab,95,2000.0,0,-0.5000000000000004,0.8660254037844384
13,121.0,34.0,626808.0,OH,100/300,1000.0,936.61,0.0,464652,FEMALE,MD,armed-forces,bungie-jumping,wife,52800.0,-32800.0,2015-01-08,Parked Car,Rear Collision,Minor Damage,Police,SC,Springfield,6582 Elm Lane,5.0,1.0,0,1.0,1.0,0,7280.0,1120.0,1120.0,5040.0,Toyota,Highlander,2010.0,0,-0.8660254037844386,0.5000000000000001
14,180.0,38.0,644081.0,OH,250/500,2000.0,1301.13,0.0,476685,FEMALE,College,machine-op-inspct,board-games,not-in-family,41300.0,-55500.0,2015-01-15,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Springfield,6851 3rd Drive,12.0,1.0,0,0.0,2.0,1,46200.0,4200.0,8400.0,33600.0,Dodge,Neon,2003.0,1,-2.4492935982947064e-16,1.0
15,473.0,58.0,892874.0,IN,100/300,2000.0,1131.4,0.0,458733,FEMALE,MD,transport-moving,movies,other-relative,55700.0,0.0,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,9573 Weaver Ave,12.0,4.0,1,0.0,0.0,0,63120.0,10520.0,10520.0,42080.0,Accura,MDX,1999.0,1,-0.8660254037844386,0.5000000000000001
16,70.0,26.0,558938.0,OH,500/1000,1000.0,1199.44,5000000.0,619884,MALE,College,machine-op-inspct,hiking,own-child,63600.0,0.0,2015-02-22,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,5074 3rd St,0.0,3.0,0,1.0,2.0,1,52110.0,5790.0,5790.0,40530.0,Nissan,Maxima,2012.0,0,1.2246467991473532e-16,-1.0
17,140.0,31.0,275265.0,IN,500/1000,500.0,708.64,6000000.0,470610,MALE,High School,machine-op-inspct,reading,unmarried,53500.0,0.0,2015-01-06,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,4546 Tree St,9.0,1.0,0,0.0,2.0,1,77880.0,14160.0,7080.0,56640.0,Suburu,Legacy,2015.0,0,-0.5000000000000004,0.8660254037844384
18,160.0,37.0,921202.0,OH,500/1000,500.0,1374.22,0.0,472135,FEMALE,MD,craft-repair,yachting,other-relative,45500.0,-37800.0,2015-01-19,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,3842 Solo Ridge,19.0,1.0,1,1.0,0.0,0,72930.0,6630.0,13260.0,53040.0,Accura,TL,2015.0,0,-2.4492935982947064e-16,1.0
